"","diameter","crown_cover","tree_density","ba_ha","palmer_drought_sensitive_index","climate_water_deficit","precipitation_accumulation","min_temperature","max_temperature","wind_speed_at_10m","slope.map_nepal","elevation_nepal","aspect","soil_moisture","soil_depth","penetration_depth","organic_layer_type","organic_layer_thickness","dia_growth_cm_yr"
"33",43.6,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.32
"34",39.1,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.15
"35",27.7,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.22
"36",55.9,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.1
"37",33.9,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.35
"38",41,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.25
"39",34.8,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.34
"40",30.2,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.13
"41",31.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.07
"42",28,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.2
"43",21.7,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.13
"44",28.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"45",25.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.05
"46",21,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,1
"47",30.7,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.26
"48",35.3,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"49",33.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.02
"50",25.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.1
"51",34.7,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.13
"52",33.2,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.33
"53",31.2,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.22
"54",26.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.28
"55",28.5,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.25
"56",26.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.1
"57",26.3,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.37
"58",28.3,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"59",33,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.35
"60",24,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.3
"61",24.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"62",39,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.3
"63",12,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.33
"64",42.5,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.1
"65",33.6,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.15
"66",28.7,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.2
"67",24.9,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.05
"68",33,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.3
"69",7.5,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.25
"70",10.1,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.12
"71",30.4,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.08
"72",39.1,46,838.69,17.5232262084986,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,3,10,0,0,0.23
